title,source_name,publishedAt,cluster,cluster_name,sentiment
"Exclusive: Arizona senator warns ‘ghost jobs’ are warping labor data, presses Trump admin to investigate",Yahoo Entertainment,2026-06-18 14:00:00+00:00,2,AI & Technology,0.0
"Exclusive: Arizona senator warns ‘ghost jobs’ are warping labor data, presses Trump admin to investigate",Fortune,2026-06-18 14:00:00+00:00,2,AI & Technology,0.0
US weekly jobless claims fall amid low layoffs,The Times of India,2026-06-18 13:03:42+00:00,1,Market & Economy,0.0
HR must have a say in AI policy to forestall legal risks,Techtarget.com,2026-06-18 12:51:00+00:00,0,Hiring & Employment,0.2
Posthaste: Canada's in a 'demographic recession.' Should we be worried?,Financial Post,2026-06-18 12:01:39+00:00,1,Market & Economy,0.0
Digital Marketing Course 2026: Blueprint to Land a Job,Pstechglobal.com,2026-06-18 11:23:20+00:00,3,Global & Policy,0.0
Germany news: Industrial employment falls to decade low,DW (English),2026-06-18 09:01:00+00:00,1,Market & Economy,0.0
Number of job vacancies hits five year-low,BBC News,2026-06-18 06:27:33+00:00,3,Global & Policy,0.0
How good is the job market?,Ncspin.com,2026-06-17 19:25:00+00:00,3,Global & Policy,0.7
Fed Keeps Interest Rates Steady as Warsh Announces Plans to Overhaul Operations,Investopedia,2026-06-17 14:57:23+00:00,1,Market & Economy,0.16666666666666666
"US ADP weekly employment change shows 25,500 job increase, missing forecasts",Crypto Briefing,2026-06-16 12:34:35+00:00,1,Market & Economy,-0.2
"Kevin Warsh takes Fed pulpit with immediate challenges, longer-term agenda",The Times of India,2026-06-16 12:21:03+00:00,1,Market & Economy,0.0
U.S. scientists are being lured abroad—and they aren't looking back,Scientific American,2026-06-16 09:56:00+00:00,1,Market & Economy,0.0
Ted Budd,Scientific American,2026-06-16 07:00:00+00:00,1,Market & Economy,0.0
PsyMetrics Milestone Reinforces Position as a Leading White Label Assessment Platform for HR Consultants,GlobeNewswire,2026-06-15 16:34:00+00:00,1,Market & Economy,0.0
LinkedIn and government join forces to help jobseekers build their careers,Www.gov.uk,2026-06-15 16:12:17+00:00,1,Market & Economy,0.0
"Upskilled slum dwellers power India’s retail, healthcare and gig economy",BusinessLine,2026-06-15 13:58:58+00:00,1,Market & Economy,0.0
Natural intelligence on the ropes: Why India’s middle managers are becoming obsolete,Livemint,2026-06-15 12:21:33+00:00,1,Market & Economy,0.18333333333333335
"Global hiring has normalised, but India remains a bright spot: Michael Page CEO",BusinessLine,2026-06-15 12:05:07+00:00,1,Market & Economy,0.35000000000000003
ManpowerGroup Returns to VivaTech to Power the Shift from AI Ambition to Workforce Reality,PRNewswire,2026-06-15 12:01:00+00:00,0,Hiring & Employment,0.0
UK AI hiring surges as firms seek people to babysit the bots,Theregister.com,2026-06-15 11:30:00+00:00,0,Hiring & Employment,0.0
"Warsh's debut Fed press conference may reveal his strategy for inflation, rates",CNA,2026-06-15 10:03:02+00:00,1,Market & Economy,0.0
He finally felt financially stable — until he was laid off. Then came a frustrating job search and restaurant work in NYC.,Business Insider,2026-06-15 09:15:01+00:00,3,Global & Policy,-0.13333333333333333
Kevin Warsh's first Fed meeting could bring unwelcome news for Trump,USA Today,2026-06-15 09:03:24+00:00,1,Market & Economy,0.25
